Sun 01 Sep 2024 10:29:54 IDT

SLURM_JOBID:		 986863
SLURM_JOB_NODELIST:	 ise-cpu-intl-19 


executing python ./train_darpatc.py --scene trace
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-09-01 10:30:03
Data(edge_index=[2, 3572351], test_mask=[1271939], train_mask=[1271939], x=[1271939, 46], y=[1271939])
feature  46 ; label  11
99 1.2357501729804026 0.4468922439147363 2024-09-01 12:24:41
100 1.23364221819649 0.4645107980168623 2024-09-01 12:25:01
101 1.2373137215246244 0.45942690680933307 2024-09-01 12:25:21
102 1.2318460216328817 0.45902075572112827 2024-09-01 12:25:40
103 1.2291995250812442 0.4491050670849556 2024-09-01 12:26:00
104 1.2412776596382358 0.4620738914876334 2024-09-01 12:26:19
105 1.2322888438038684 0.46466485532618135 2024-09-01 12:26:39
106 1.2366721043182431 0.45060362454833197 2024-09-01 12:26:58
107 1.2318080322591736 0.46675163160695776 2024-09-01 12:27:18
108 1.2264707235624694 0.4642867146578527 2024-09-01 12:27:37
109 1.2334413453646493 0.44973530153216995 2024-09-01 12:27:56
110 1.2272610082762845 0.4654631522926529 2024-09-01 12:28:16
111 1.2308926055359308 0.4557715470154898 2024-09-01 12:28:35
112 1.22707345427854 0.4528724685583037 2024-09-01 12:28:55
113 1.231028062930438 0.45710204195960896 2024-09-01 12:29:14
114 1.2262553521382809 0.46684966807652445 2024-09-01 12:29:33
115 1.2258877945408422 0.47169547071510604 2024-09-01 12:29:52
116 1.2288740500492634 0.49847343211674744 2024-09-01 12:30:12
117 1.22679916387085 0.4952522338309851 2024-09-01 12:30:31
118 1.337013275615775 0.46463684490630514 2024-09-01 12:30:51
119 17.084887928226234 0.4529424946079942 2024-09-01 12:31:10
120 1.2540425510721172 0.44141620682894034 2024-09-01 12:31:30
121 1.2551223517719736 0.448432817007927 2024-09-01 12:31:49
122 1.2539367337530192 0.44437130612587883 2024-09-01 12:32:08
123 1.2447871699867046 0.4425506288339262 2024-09-01 12:32:29
124 1.263910094231358 0.4453936864513599 2024-09-01 12:32:48
125 1.2492819734055243 0.4364863729307302 2024-09-01 12:33:07
126 1.2558247806117606 0.4448754936836503 2024-09-01 12:33:27
127 1.2515394436952791 0.44890899414582225 2024-09-01 12:33:46
128 1.2465307856002765 0.4500574213607462 2024-09-01 12:34:05
129 1.2350473225589214 0.44699028038430294 2024-09-01 12:34:25
130 1.2813648081157045 0.4431528528612644 2024-09-01 12:34:44
131 1.2965630529234113 0.443390941430212 2024-09-01 12:35:04
132 1.2973611608032005 0.44742444189238395 2024-09-01 12:35:24
133 1.2893919082440026 0.4486569003669365 2024-09-01 12:35:43
134 1.2909742386841092 0.4497913223719224 2024-09-01 12:36:02
135 1.2919735273978699 0.4499173692613652 2024-09-01 12:36:21
136 1.2883904240037283 0.4509257443769082 2024-09-01 12:36:41
137 1.2907174760255322 0.450463572448951 2024-09-01 12:37:01
138 1.2881867489405117 0.4506456401781463 2024-09-01 12:37:20
139 1.2874391672274055 0.4514579423545559 2024-09-01 12:37:40
140 1.28425348605406 0.4513599058849892 2024-09-01 12:38:00
141 1.315384339195704 0.45176605697319405 2024-09-01 12:38:19
142 1.286988582157901 0.451906109072575 2024-09-01 12:38:39
143 1.2857084757960953 0.451471947564494 2024-09-01 12:38:58
144 1.2851550981432867 0.45164001008375115 2024-09-01 12:39:18
145 1.285092748175455 0.4514439371446178 2024-09-01 12:39:37
146 1.2831892160163108 0.4514299319346797 2024-09-01 12:39:56
147 1.2838940161763277 0.45248032268003696 2024-09-01 12:40:16
148 1.2823956236746201 0.45203215596201785 2024-09-01 12:40:36
149 1.2820596446149781 0.4513599058849892 2024-09-01 12:40:55
39174
32228
1 1.6229042132318174 0.015188645530198601 2024-09-01 12:41:25
2 1.5704927202290364 0.6314902741614336 2024-09-01 12:41:40
3 1.5001822231240336 0.6351661816510951 2024-09-01 12:41:54
4 1.4368548928951848 0.6362893756062694 2024-09-01 12:42:09
5 1.3830087486352685 0.638765507734722 2024-09-01 12:42:23
6 1.3570763090458131 0.6375912595088579 2024-09-01 12:42:38
7 1.3062404199149749 0.6393271047123091 2024-09-01 12:42:52
8 1.2822371806717152 0.6431817021493847 2024-09-01 12:43:07
9 1.2992988787597164 0.6400929187726553 2024-09-01 12:43:22
10 1.2411376422705436 0.6401184459080002 2024-09-01 12:43:36
11 1.224934282526583 0.6408842599683463 2024-09-01 12:43:51
12 1.2136366467457145 0.6410884770511053 2024-09-01 12:44:05
13 1.2030725183156825 0.6409863685097258 2024-09-01 12:44:20
14 1.1933323637707747 0.6409863685097258 2024-09-01 12:44:34
15 1.186232131905521 0.6412161127278296 2024-09-01 12:44:49
16 1.1783489365304307 0.6410374227804155 2024-09-01 12:45:03
17 1.1712215041994969 0.6414203298105886 2024-09-01 12:45:18
18 1.1660382055107896 0.641139531321795 2024-09-01 12:45:32
19 1.1591480116253334 0.6411905855924848 2024-09-01 12:45:47
20 1.1571005370889937 0.6410374227804155 2024-09-01 12:46:01
21 1.1516231252557134 0.6410374227804155 2024-09-01 12:46:15
22 1.1493856415982548 0.6410884770511053 2024-09-01 12:46:30
23 1.145387117601119 0.6414458569459335 2024-09-01 12:46:45
24 1.138180948772967 0.6414458569459335 2024-09-01 12:47:00
25 1.1360954895935862 0.6412671669985194 2024-09-01 12:47:15
26 1.1334778339335643 0.641547965487313 2024-09-01 12:47:29
27 1.1325139927512295 0.6411650584571399 2024-09-01 12:47:43
