Thu 29 Aug 2024 04:51:34 IDT

SLURM_JOBID:		 969638
SLURM_JOB_NODELIST:	 ise-cpu-intl-21 


executing python ./train_darpatc.py --scene trace
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-08-29 04:52:05
Data(edge_index=[2, 3572351], test_mask=[1271939], train_mask=[1271939], x=[1271939, 46], y=[1271939])
feature  46 ; label  11
89 1.3486994361810147 0.4612160209670374 2024-08-29 05:54:47
90 1.3449746918876158 0.4626692651456604 2024-08-29 05:54:59
91 1.3479583249097389 0.4566714828130775 2024-08-29 05:55:12
92 1.3461276126049695 0.46188804139645845 2024-08-29 05:55:25
93 1.3398969133576135 0.4609136117737979 2024-08-29 05:55:38
94 1.3387453162835565 0.4634000873626558 2024-08-29 05:55:50
95 1.342731603431003 0.46015758879069923 2024-08-29 05:56:03
96 1.3450243902248078 0.4633832868519203 2024-08-29 05:56:16
97 1.339795085171819 0.4627952689761769 2024-08-29 05:56:29
98 1.3452491466366416 0.46193844292866504 2024-08-29 05:56:41
99 1.3372485306765987 0.4634000873626558 2024-08-29 05:56:53
100 1.3384886011353607 0.46287927152985453 2024-08-29 05:57:06
101 1.336243502199119 0.4635512919592756 2024-08-29 05:57:19
102 1.3416434307339684 0.46336648634118477 2024-08-29 05:57:31
103 1.3820158387779817 0.4632488827660361 2024-08-29 05:57:44
104 1.3497479012254336 0.46554215248143543 2024-08-29 05:57:56
105 1.3481696761306152 0.4628876717852223 2024-08-29 05:58:09
106 1.4777689059332395 0.4653657471187124 2024-08-29 05:58:22
107 1.337477809799394 0.46195524343940053 2024-08-29 05:58:35
108 1.3427590192163397 0.46691139410638083 2024-08-29 05:58:47
109 1.3423640876002043 0.46463492490171704 2024-08-29 05:59:00
110 1.3406964843381552 0.4644417190282585 2024-08-29 05:59:13
111 1.3415885320101841 0.46305567689257754 2024-08-29 05:59:26
112 1.3790366882750922 0.46442491851752293 2024-08-29 05:59:38
113 1.33814335612415 0.4649793353717953 2024-08-29 05:59:51
114 1.3397894375611288 0.4665333826148315 2024-08-29 06:00:04
115 1.339437333759868 0.4662141729108565 2024-08-29 06:00:17
116 1.336856514995551 0.4661721716340177 2024-08-29 06:00:30
117 1.3426659519860416 0.4666677867007157 2024-08-29 06:00:42
118 1.3242710685141965 0.09724975639259434 2024-08-29 06:00:55
119 1.3538334187887389 0.4653069453311381 2024-08-29 06:01:08
120 1.3687634665151864 0.22644568394879205 2024-08-29 06:01:20
121 1.7998365239107514 0.47167433889990257 2024-08-29 06:01:33
122 1.3347985180774717 0.4701622929337052 2024-08-29 06:01:45
123 1.3296632366488688 0.4732283861429388 2024-08-29 06:01:58
124 1.335220979392891 0.0924196095561305 2024-08-29 06:02:11
125 1.3547771239984876 0.4684066395618427 2024-08-29 06:02:23
126 1.350490643277868 0.4699522865495111 2024-08-29 06:02:36
127 1.342824006027754 0.4684570410940493 2024-08-29 06:02:48
128 1.3437707928022442 0.46910386075736704 2024-08-29 06:03:01
129 1.344942317979598 0.46917946305567687 2024-08-29 06:03:14
130 1.3564540441188195 0.4695490742918585 2024-08-29 06:03:27
131 1.3308207353257888 0.47491683747185914 2024-08-29 06:03:40
132 1.329129455579128 0.4758240650515776 2024-08-29 06:03:53
133 1.3275372901673734 0.47499243977016903 2024-08-29 06:04:06
134 1.338444589046432 0.4739004065723598 2024-08-29 06:04:19
135 1.3332562469305729 0.47423641678707035 2024-08-29 06:04:32
136 1.3345566314177055 0.4746228285339874 2024-08-29 06:04:45
137 1.3311749349089546 0.47233795907395587 2024-08-29 06:04:58
138 1.3287061361619084 0.4747908336413427 2024-08-29 06:05:11
139 1.3335126274748237 0.47397600887066965 2024-08-29 06:05:23
140 1.328433078145521 0.4749252377272269 2024-08-29 06:05:36
141 1.3330396626177567 0.4760172709250361 2024-08-29 06:05:49
142 1.3335954153843375 0.4743708208729545 2024-08-29 06:06:02
143 1.3294800872952703 0.4753620510063506 2024-08-29 06:06:15
144 1.3351153522877077 0.47233795907395587 2024-08-29 06:06:28
145 1.328477665239723 0.478327341151171 2024-08-29 06:06:40
146 1.3281144641835716 0.47505124155774336 2024-08-29 06:06:53
147 1.3343869194637235 0.47418601525486376 2024-08-29 06:07:06
148 1.328386419058399 0.47260676724572426 2024-08-29 06:07:18
149 1.3297508800347395 0.47584926581768083 2024-08-29 06:07:31
62397
56647
1 1.6954169994684658 0.006747119252528166 2024-08-29 06:07:54
2 1.6817080282080963 0.011122329599179448 2024-08-29 06:08:03
3 1.759634994414704 0.008862605573985929 2024-08-29 06:08:12
4 1.5233015735873423 0.41178261775405867 2024-08-29 06:08:21
5 1.494998175964097 0.4122794365113707 2024-08-29 06:08:30
6 1.441249166539589 0.4117665913425325 2024-08-29 06:08:39
7 1.4172052320846429 0.4120230139269516 2024-08-29 06:08:48
8 1.3918466907526714 0.4125198326842637 2024-08-29 06:08:57
9 1.3719299581682598 0.41285638732631375 2024-08-29 06:09:06
