Sun 01 Sep 2024 10:29:51 IDT

SLURM_JOBID:		 986862
SLURM_JOB_NODELIST:	 ise-cpu-intl-13 


executing python ./train_darpatc.py --scene theia
rm: cannot remove 'result_*': No such file or directory
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-09-01 10:30:11
Data(edge_index=[2, 9388492], test_mask=[304973], train_mask=[304973], x=[304973, 36], y=[304973])
feature  36 ; label  5
67 1.295717716217041 0.0 2024-09-01 11:03:04
68 1.2956265211105347 0.0 2024-09-01 11:03:04
69 1.2963061332702637 0.0 2024-09-01 11:03:04
70 1.2083557844161987 0.0 2024-09-01 11:03:04
71 1.2197569608688354 0.0 2024-09-01 11:03:04
72 1.2950141429901123 0.0 2024-09-01 11:03:04
73 1.2185945510864258 0.0 2024-09-01 11:03:04
74 1.205894112586975 0.0 2024-09-01 11:03:04
75 1.2952120304107666 0.0 2024-09-01 11:03:04
76 1.204522728919983 0.0 2024-09-01 11:03:04
77 1.2947741746902466 0.0 2024-09-01 11:03:04
78 1.215403437614441 0.0 2024-09-01 11:03:04
79 1.4155457019805908 0.0 2024-09-01 11:03:04
80 1.2014356851577759 0.0 2024-09-01 11:03:04
81 1.4156211614608765 0.0 2024-09-01 11:03:04
82 1.2938382625579834 0.0 2024-09-01 11:03:04
83 1.4153518676757812 0.0 2024-09-01 11:03:04
84 1.2117676734924316 0.0 2024-09-01 11:03:04
85 1.3280670642852783 0.0 2024-09-01 11:03:04
86 1.4146747589111328 0.0 2024-09-01 11:03:04
87 1.2928063869476318 0.0 2024-09-01 11:03:04
88 1.2108691930770874 0.0 2024-09-01 11:03:04
89 1.19793701171875 0.0 2024-09-01 11:03:04
90 1.2097195386886597 0.0 2024-09-01 11:03:04
91 1.2928736209869385 0.0 2024-09-01 11:03:04
92 1.196404218673706 0.0 2024-09-01 11:03:04
93 1.2082123756408691 0.0 2024-09-01 11:03:04
94 1.195149302482605 0.0 2024-09-01 11:03:04
95 1.4136652946472168 0.0 2024-09-01 11:03:04
96 1.292165994644165 0.0 2024-09-01 11:03:04
97 1.2920186519622803 0.0 2024-09-01 11:03:04
98 1.205549716949463 0.0 2024-09-01 11:03:04
99 1.1922733783721924 0.0 2024-09-01 11:03:04
100 1.4137029647827148 0.0 2024-09-01 11:03:04
101 1.20381498336792 0.0 2024-09-01 11:03:04
102 1.1903517246246338 0.0 2024-09-01 11:03:04
103 1.327545404434204 0.0 2024-09-01 11:03:04
104 1.1890608072280884 0.0 2024-09-01 11:03:04
105 1.4137296676635742 0.0 2024-09-01 11:03:04
106 1.3273732662200928 0.0 2024-09-01 11:03:04
107 1.4135446548461914 0.0 2024-09-01 11:03:04
108 1.2001087665557861 0.0 2024-09-01 11:03:04
109 1.1996653079986572 0.0 2024-09-01 11:03:04
110 1.1859586238861084 0.0 2024-09-01 11:03:04
111 1.3270001411437988 0.0 2024-09-01 11:03:04
112 1.197725534439087 0.0 2024-09-01 11:03:04
113 1.1970720291137695 0.0 2024-09-01 11:03:04
114 1.4130909442901611 0.0 2024-09-01 11:03:04
115 1.3266117572784424 0.0 2024-09-01 11:03:04
116 1.290034294128418 0.0 2024-09-01 11:03:04
117 1.4128892421722412 0.0 2024-09-01 11:03:04
118 1.4126874208450317 0.0 2024-09-01 11:03:04
119 1.3261528015136719 0.0 2024-09-01 11:03:04
120 1.2898457050323486 0.0 2024-09-01 11:03:04
121 1.1815320253372192 0.0 2024-09-01 11:03:04
122 1.289509654045105 0.0 2024-09-01 11:03:04
123 1.2895317077636719 0.0 2024-09-01 11:03:04
124 1.289161205291748 0.0 2024-09-01 11:03:04
125 1.2889264822006226 0.0 2024-09-01 11:03:04
126 1.1801257133483887 0.0 2024-09-01 11:03:04
127 1.411656141281128 0.0 2024-09-01 11:03:04
128 1.1794804334640503 0.0 2024-09-01 11:03:04
129 1.1913273334503174 0.0 2024-09-01 11:03:04
130 1.2880935668945312 0.0 2024-09-01 11:03:04
131 1.2875738143920898 0.0 2024-09-01 11:03:04
132 1.1777255535125732 0.0 2024-09-01 11:03:04
133 1.1771984100341797 0.0 2024-09-01 11:03:04
134 1.1765800714492798 0.0 2024-09-01 11:03:04
135 1.174848198890686 0.0 2024-09-01 11:03:04
136 1.1751072406768799 0.0 2024-09-01 11:03:04
137 1.1868349313735962 0.0 2024-09-01 11:03:04
138 1.1859863996505737 0.0 2024-09-01 11:03:05
139 1.1850794553756714 0.0 2024-09-01 11:03:05
140 1.2859917879104614 0.0 2024-09-01 11:03:05
141 1.1842464208602905 0.0 2024-09-01 11:03:05
142 1.2856595516204834 0.0 2024-09-01 11:03:05
143 1.1688590049743652 0.0 2024-09-01 11:03:05
144 1.2848037481307983 0.0 2024-09-01 11:03:05
145 1.181005597114563 0.0 2024-09-01 11:03:05
146 1.1791399717330933 0.0 2024-09-01 11:03:05
147 1.1782658100128174 0.0 2024-09-01 11:03:05
148 1.1645082235336304 0.0 2024-09-01 11:03:05
149 1.1763778924942017 0.0 2024-09-01 11:03:05
Finish training graph 0 2024-09-01 11:03:05
Start validating 2024-09-01 11:03:05
../graphchi-cpp-master/graph_data/darpatc/theia_test.txt 2024-09-01 11:03:05
Data(edge_index=[2, 9426573], test_mask=[344765], train_mask=[344765], x=[344765, 36], y=[344765])
validating in model  0
fp and fn:  66301 278464
Precision:  0.2768071893995711
Recall:  0.9999999999999961
validating in model  1
fp and fn:  50498 15803
Precision:  0.3345268609782518
Recall:  0.9999999999999961
validating in model  2
fp and fn:  38477 12021
Precision:  0.39691829721799377
Recall:  0.999091591295071
validating in model  3
fp and fn:  36099 2378
Precision:  0.4123025768911049
Recall:  0.999091591295071
validating in model  4
fp and fn:  35573 526
Precision:  0.4158214009765072
Recall:  0.9990125992337732
validating in model  5
fp and fn:  35433 140
Precision:  0.41661588127748517
Recall:  0.9990125992337732
validating in model  6
fp and fn:  35399 34
Precision:  0.41684932184116347
Recall:  0.9990125992337732
validating in model  7
fp and fn:  35345 54
Precision:  0.41722061855670034
Recall:  0.9990125992337732
validating in model  8
fp and fn:  35202 143
Precision:  0.4182070698720273
Recall:  0.9990125992337732
validating in model  9
fp and fn:  34678 524
Precision:  0.4218241857207177
Recall:  0.9989731032031242
validating in model  10
Start training graph 0 2024-09-01 11:08:24
Data(edge_index=[2, 9388492], test_mask=[304973], train_mask=[304973], x=[304973, 36], y=[304973])
feature  36 ; label  5
1 614.20328650384 0.7716158479603112 2024-09-01 11:09:49
2 151.3923287622144 0.8786777845907671 2024-09-01 11:10:37
3 10.718249475268827 0.8724444459017684 2024-09-01 11:11:25
4 2.8127471885143045 0.8693753217497943 2024-09-01 11:12:14
5 1.9679073341692392 0.8626304623687998 2024-09-01 11:13:02
6 3.6683789570272087 0.8703229466215042 2024-09-01 11:13:51
7 1.1999756920549263 0.8719755519341057 2024-09-01 11:14:39
8 1.3317298640956168 0.8727166011417404 2024-09-01 11:15:28
9 0.827669485432361 0.8733920707734784 2024-09-01 11:16:16
10 0.8144514062270614 0.870073744233096 2024-09-01 11:17:05
11 1.8107652636353577 0.8707164240768855 2024-09-01 11:17:55
12 0.8679929010472255 0.8727756227600476 2024-09-01 11:18:43
13 0.9749461957799029 0.8728346443783548 2024-09-01 11:19:31
14 1.1503057434514792 0.8712246657900863 2024-09-01 11:20:19
15 0.5942553048692651 0.8742118154721893 2024-09-01 11:21:09
16 0.654716994334183 0.8754217586474868 2024-09-01 11:21:57
17 0.5398171214084257 0.8754545484354352 2024-09-01 11:22:45
18 0.5254639780000188 0.8761628078551216 2024-09-01 11:23:33
19 0.5265614717876981 0.8727493909296888 2024-09-01 11:24:21
20 0.49014410190624447 0.8762644561977617 2024-09-01 11:25:10
21 0.49415796098414755 0.8725264203716394 2024-09-01 11:25:58
22 0.5087033091389798 0.8731625422578392 2024-09-01 11:26:46
23 0.6774746577946955 0.8771071537480367 2024-09-01 11:27:35
24 0.4878445681407298 0.8776973699311087 2024-09-01 11:28:24
25 0.47780797146210535 0.8766021910136307 2024-09-01 11:29:12
26 0.48064690756674194 0.8781334741108229 2024-09-01 11:30:02
27 0.47900482807942585 0.87367078397104 2024-09-01 11:30:51
28 0.47675214066678295 0.877690811973519 2024-09-01 11:31:40
29 0.4722148489366816 0.8744216701150593 2024-09-01 11:32:29
38298
266675
1 2.4309210643499872 0.34855606036868764 2024-09-01 11:33:49
2 1.9560026126627799 0.41902971434539665 2024-09-01 11:34:07
3 1.6436874749760222 0.2528852681602172 2024-09-01 11:34:24
4 1.515164309328882 0.285419604156875 2024-09-01 11:34:42
5 1.3549942531077206 0.46527233798109563 2024-09-01 11:35:00
6 1.2251035938923325 0.45185127160687244 2024-09-01 11:35:18
7 1.1317607700074583 0.5999007781085174 2024-09-01 11:35:36
8 1.0725746345903502 0.6742388636482323 2024-09-01 11:35:54
9 1.008893076156697 0.6510000522220482 2024-09-01 11:36:11
10 0.9821807385623981 0.6262468013995509 2024-09-01 11:36:29
14314
23984
1 1.4718772203908614 0.19197987983792092 2024-09-01 11:36:55
2 1.299547982728896 0.3879418750873271 2024-09-01 11:37:08
3 1.1848792197302231 0.3493782311024172 2024-09-01 11:37:22
4 1.1051957934066305 0.35042615621070283 2024-09-01 11:37:36
5 1.0843206436687032 0.4005169763867542 2024-09-01 11:37:51
