Sat 31 Aug 2024 07:46:33 IDT

SLURM_JOBID:		 981356
SLURM_JOB_NODELIST:	 dt-cpu-03 


executing python ./train_darpatc.py --scene cadets
Start training graph 0 2024-08-31 07:46:41
Data(edge_index=[2, 4347080], test_mask=[362645], train_mask=[362645], x=[362645, 56], y=[362645])
feature  56 ; label  6
25 25.085090694664466 0.3982820580243667 2024-08-31 08:13:53
26 8.330389768384133 0.3971426067139977 2024-08-31 08:14:04
27 19.193683636408974 0.38868437198702777 2024-08-31 08:14:15
28 17.244860830132723 0.251029888684372 2024-08-31 08:14:27
29 37.86604058491754 0.25085458848277675 2024-08-31 08:14:37
30 15.879285593477533 0.2534402664563064 2024-08-31 08:14:49
31 16.038110157444347 0.26067139977210974 2024-08-31 08:15:00
32 10.987981836429475 0.24379875536856868 2024-08-31 08:15:11
33 24.0042130850776 0.24528880708212814 2024-08-31 08:15:22
34 17.435299218667463 0.24918923656762204 2024-08-31 08:15:34
35 12.961958265929399 0.2680340082391095 2024-08-31 08:15:45
36 14.561027055587472 0.26948023490227013 2024-08-31 08:15:57
37 13.356034188227103 0.27456394074853185 2024-08-31 08:16:08
38 11.545331682056744 0.27241651327899025 2024-08-31 08:16:19
39 11.017216716622249 0.272241213077395 2024-08-31 08:16:30
40 8.69004545631621 0.27508984135331754 2024-08-31 08:16:41
41 14.307299266742127 0.2771496187220615 2024-08-31 08:16:53
42 4.588852936509552 0.367867473047594 2024-08-31 08:17:04
43 9.555093834262046 0.36694714698921904 2024-08-31 08:17:15
44 19.144321739626594 0.38022613726005783 2024-08-31 08:17:26
45 30.701881328236368 0.4085371198176878 2024-08-31 08:17:37
46 39.17988846484676 0.4360154264177404 2024-08-31 08:17:48
47 11.611757478482863 0.4300990446139013 2024-08-31 08:18:00
48 8.187096398701561 0.42558506442282407 2024-08-31 08:18:11
49 53.36772379909455 0.4254974143220265 2024-08-31 08:18:22
50 21.831025710500022 0.43781225348409153 2024-08-31 08:18:33
51 8.193691655352172 0.4378999035848891 2024-08-31 08:18:44
52 16.048173725746068 0.438162853887282 2024-08-31 08:18:56
53 12.181751061587134 0.437242527828907 2024-08-31 08:19:07
54 12.68967172888245 0.43873257954246647 2024-08-31 08:19:18
55 7.113255281893061 0.4372863528793058 2024-08-31 08:19:29
56 13.822248364938885 0.4371548777281094 2024-08-31 08:19:40
57 27.766122612853714 0.43071259531948464 2024-08-31 08:19:51
58 5.013225378596466 0.43071259531948464 2024-08-31 08:20:03
59 24.83518571156291 0.43023051976509774 2024-08-31 08:20:14
60 5.588974405781123 0.4289595933035323 2024-08-31 08:20:25
61 23.302245112867254 0.42931019370672274 2024-08-31 08:20:36
62 20.226102839605826 0.4376369532824963 2024-08-31 08:20:47
63 16.758532084375084 0.437242527828907 2024-08-31 08:20:58
64 5.163353056428685 0.4366289771233237 2024-08-31 08:21:09
65 15.879476479857505 0.4398282058024367 2024-08-31 08:21:21
