Thu 29 Aug 2024 04:51:59 IDT

SLURM_JOBID:		 969639
SLURM_JOB_NODELIST:	 ise-cpu-intl-18 


executing python ./train_darpatc.py --scene cadets
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-08-29 04:52:10
Data(edge_index=[2, 4347080], test_mask=[362645], train_mask=[362645], x=[362645, 56], y=[362645])
feature  56 ; label  6
13 1.174348524309649 0.026163301141352062 2024-08-29 06:38:15
14 1.1739554933752272 0.027216856892010536 2024-08-29 06:38:25
15 1.1730080775988532 0.028797190517998245 2024-08-29 06:38:36
16 1.1773053189973437 0.029499561018437225 2024-08-29 06:38:48
17 1.1798910632062314 0.0626865671641791 2024-08-29 06:39:01
18 1.1680331143294644 0.0630377524143986 2024-08-29 06:39:13
19 1.165966879808662 0.10886742756804214 2024-08-29 06:39:25
20 1.172057179739017 0.10956979806848112 2024-08-29 06:39:37
21 1.165071717158444 0.10974539069359086 2024-08-29 06:39:49
22 1.1615017724727936 0.10974539069359086 2024-08-29 06:39:59
23 1.1463537546916422 0.10956979806848112 2024-08-29 06:40:12
24 1.1512573725095017 0.10956979806848112 2024-08-29 06:40:24
25 1.1399592229208473 0.10956979806848112 2024-08-29 06:40:37
26 1.1576375453696113 0.10956979806848112 2024-08-29 06:40:49
27 1.155528831733121 0.10921861281826163 2024-08-29 06:41:00
28 1.1397788754882678 0.11150131694468832 2024-08-29 06:41:09
29 1.1536604226734473 0.1106233538191396 2024-08-29 06:41:17
30 1.1371729007617124 0.14539069359086917 2024-08-29 06:41:26
31 1.1495860851679693 0.14381035996488148 2024-08-29 06:41:34
32 1.144859415067718 0.1443371378402107 2024-08-29 06:41:42
33 1.1515027086812222 0.1450395083406497 2024-08-29 06:41:50
34 1.1433611097201848 0.143459174714662 2024-08-29 06:41:59
35 1.1408973113814396 0.14609306409130818 2024-08-29 06:42:07
36 1.135197467506717 0.14539069359086917 2024-08-29 06:42:15
37 1.1370132660216883 0.14539069359086917 2024-08-29 06:42:24
38 1.1352420587933199 0.2147497805092186 2024-08-29 06:42:32
39 1.152713616026191 0.18050921861281827 2024-08-29 06:42:40
40 1.135338404599358 0.180684811237928 2024-08-29 06:42:49
41 1.1262007175149156 0.18437225636523266 2024-08-29 06:42:57
42 1.1423100795109509 0.18472344161545215 2024-08-29 06:43:06
43 1.1277548857589266 0.18472344161545215 2024-08-29 06:43:14
44 1.1152332755324086 0.18437225636523266 2024-08-29 06:43:23
45 1.12465267960077 0.18349429323968394 2024-08-29 06:43:31
46 1.1282848952840148 0.1833187006145742 2024-08-29 06:43:39
47 1.1096765566960671 0.18647936786654962 2024-08-29 06:43:48
48 1.1179015070226133 0.1884108867427568 2024-08-29 06:43:56
49 1.1152819495540214 0.18858647936786654 2024-08-29 06:44:05
50 1.1195514618670135 0.1942054433713784 2024-08-29 06:44:17
51 1.1112366653095744 0.2038630377524144 2024-08-29 06:44:30
52 1.1117871892986013 0.20456540825285338 2024-08-29 06:44:43
53 1.1089922884663959 0.20561896400351184 2024-08-29 06:44:54
54 1.1214318015891487 0.21492537313432836 2024-08-29 06:45:04
55 1.1148145846675843 0.21299385425812115 2024-08-29 06:45:12
56 1.1165080389712754 0.21615452151009656 2024-08-29 06:45:21
57 1.1189674246824028 0.21176470588235294 2024-08-29 06:45:29
58 1.1201232715695442 0.20983318700614575 2024-08-29 06:45:38
59 1.1086286990866523 0.2093064091308165 2024-08-29 06:45:46
60 1.1119344763006422 0.20913081650570675 2024-08-29 06:45:55
61 1.1095276647120635 0.20842844600526778 2024-08-29 06:46:03
62 1.1004267849348637 0.2115891132572432 2024-08-29 06:46:12
63 1.11043372690102 0.20825285338015803 2024-08-29 06:46:20
64 1.1110876745252467 0.2138718173836699 2024-08-29 06:46:29
65 1.1169000859842477 0.21334503950834066 2024-08-29 06:46:37
66 1.115456205172116 0.21264266900790166 2024-08-29 06:46:46
67 1.0991843913708788 0.21527655838454784 2024-08-29 06:46:54
68 1.1002790849390942 0.2154521510096576 2024-08-29 06:47:03
69 1.0908295505396413 0.21580333625987708 2024-08-29 06:47:11
70 1.1082789047021842 0.2147497805092186 2024-08-29 06:47:19
71 1.0895295471764113 0.2147497805092186 2024-08-29 06:47:28
72 1.101221975262904 0.21597892888498682 2024-08-29 06:47:36
73 1.0971392366946842 0.2138718173836699 2024-08-29 06:47:45
74 1.0949155778817905 0.21492537313432836 2024-08-29 06:47:53
75 1.104255605780105 0.2154521510096576 2024-08-29 06:48:02
76 1.3088630278765685 0.21334503950834066 2024-08-29 06:48:10
77 1.123114573735747 0.21316944688323092 2024-08-29 06:48:19
78 1.1004779399540259 0.2115891132572432 2024-08-29 06:48:27
79 1.1041349870683437 0.21229148375768217 2024-08-29 06:48:36
80 1.0899612242135173 0.2138718173836699 2024-08-29 06:48:44
81 1.0964605728715422 0.21404741000877964 2024-08-29 06:48:53
82 1.0839595046349007 0.21562774363476733 2024-08-29 06:49:01
83 1.0898964668283135 0.21650570676031608 2024-08-29 06:49:09
84 1.11567911147234 0.21791044776119403 2024-08-29 06:49:18
85 1.1095384214927064 0.21878841088674275 2024-08-29 06:49:26
86 1.100422073603723 0.2177348551360843 2024-08-29 06:49:35
87 1.119348398628101 0.2173836698858648 2024-08-29 06:49:43
88 1.0948678952125837 0.21597892888498682 2024-08-29 06:49:52
89 1.0916292814961435 0.2154521510096576 2024-08-29 06:50:00
90 1.0948326519647118 0.21457418788410887 2024-08-29 06:50:09
91 1.1048163102319934 0.21439859525899913 2024-08-29 06:50:17
92 1.1080294249872036 0.21316944688323092 2024-08-29 06:50:26
93 1.093375495696298 0.21562774363476733 2024-08-29 06:50:34
94 1.0835481538806075 0.21439859525899913 2024-08-29 06:50:43
95 1.1109936888328866 0.21597892888498682 2024-08-29 06:50:52
96 1.1030456089366414 0.21720807726075506 2024-08-29 06:51:00
97 1.0946266634407746 0.218612818261633 2024-08-29 06:51:09
98 1.1019651292184658 0.21755926251097454 2024-08-29 06:51:18
99 1.0880819846916032 0.220017559262511 2024-08-29 06:51:26
100 1.0978264209991804 0.21984196663740124 2024-08-29 06:51:36
101 1.0857213434155726 0.220017559262511 2024-08-29 06:51:46
102 1.093282784360663 0.22142230026338894 2024-08-29 06:51:57
103 1.0825454002938006 0.2231782265144864 2024-08-29 06:52:07
104 1.0884626503049333 0.2228270412642669 2024-08-29 06:52:18
105 1.084048273848064 0.22054433713784022 2024-08-29 06:52:29
106 1.0865553821567069 0.21931518876207198 2024-08-29 06:52:40
107 1.0894859115526905 0.21668129938542582 2024-08-29 06:52:51
108 1.0863725488598248 0.21597892888498682 2024-08-29 06:53:03
109 1.0799902205513274 0.21826163301141352 2024-08-29 06:53:15
110 1.0840038620033632 0.21615452151009656 2024-08-29 06:53:26
111 1.0845090085943085 0.21562774363476733 2024-08-29 06:53:39
112 1.0873758668330178 0.21685689201053557 2024-08-29 06:53:51
113 1.0845035711226492 0.22194907813871817 2024-08-29 06:54:03
114 1.076247962657771 0.22405618964003512 2024-08-29 06:54:15
115 1.0824312233841136 0.22458296751536436 2024-08-29 06:54:28
116 1.082622808882602 0.2235294117647059 2024-08-29 06:54:40
117 1.087033717856269 0.22159789288849868 2024-08-29 06:54:51
118 1.0840232938501895 0.220017559262511 2024-08-29 06:55:04
119 1.0926204666534571 0.22071992976294996 2024-08-29 06:55:16
120 1.0722136333179222 0.2212467076382792 2024-08-29 06:55:28
121 1.0835345744877347 0.22194907813871817 2024-08-29 06:55:40
122 1.0864730898595045 0.22142230026338894 2024-08-29 06:55:53
123 1.07953678023093 0.218612818261633 2024-08-29 06:56:05
124 1.0855215120148094 0.22265144863915715 2024-08-29 06:56:17
125 1.0728711232058934 0.2228270412642669 2024-08-29 06:56:29
126 1.084900327478196 0.22177348551360843 2024-08-29 06:56:41
127 1.0900105728822596 0.22107111501316945 2024-08-29 06:56:53
128 1.0846209530248465 0.2177348551360843 2024-08-29 06:57:06
129 1.080468930101269 0.2151009657594381 2024-08-29 06:57:18
130 1.0846877310546057 0.21562774363476733 2024-08-29 06:57:30
131 1.075914074183557 0.21826163301141352 2024-08-29 06:57:42
132 1.0859513861553203 0.21826163301141352 2024-08-29 06:57:54
133 1.0822126528377383 0.21597892888498682 2024-08-29 06:58:07
134 1.0669358521830732 0.2212467076382792 2024-08-29 06:58:19
135 1.0678187107390955 0.2208955223880597 2024-08-29 06:58:31
136 1.0744518005502548 0.2212467076382792 2024-08-29 06:58:43
137 1.0842618624090206 0.21843722563652326 2024-08-29 06:58:55
138 1.0775971202289356 0.22230026338893766 2024-08-29 06:59:08
139 1.074193149412589 0.22194907813871817 2024-08-29 06:59:20
140 1.0888316298494012 0.21913959613696224 2024-08-29 06:59:32
141 1.0711377103460578 0.2170324846356453 2024-08-29 06:59:44
142 1.074022158286988 0.21668129938542582 2024-08-29 06:59:57
143 1.0669678371134717 0.21597892888498682 2024-08-29 07:00:09
144 1.0771596741529805 0.22054433713784022 2024-08-29 07:00:21
145 1.0804677506200675 0.22265144863915715 2024-08-29 07:00:34
146 1.0792604175128886 0.2247585601404741 2024-08-29 07:00:46
147 1.085005500632697 0.22405618964003512 2024-08-29 07:00:58
148 1.086641446135356 0.2251097453906936 2024-08-29 07:01:11
149 1.0713872244946259 0.2247585601404741 2024-08-29 07:01:23
4415
1280
1 1.1783696413040161 0.002491506228765572 2024-08-29 07:01:42
2 1.1677980422973633 0.004303510758776897 2024-08-29 07:01:54
3 1.170119285583496 0.004983012457531144 2024-08-29 07:02:07
4 1.1649233102798462 0.004983012457531144 2024-08-29 07:02:19
5 1.168465256690979 0.004983012457531144 2024-08-29 07:02:32
6 1.1688259840011597 0.005436013590033975 2024-08-29 07:02:45
7 1.150362253189087 0.005436013590033975 2024-08-29 07:02:58
8 1.1515835523605347 0.005889014722536806 2024-08-29 07:03:08
9 1.1354401111602783 0.005889014722536806 2024-08-29 07:03:19
10 1.140684723854065 0.0056625141562853904 2024-08-29 07:03:29
11 1.148156762123108 0.005209513023782559 2024-08-29 07:03:39
12 1.1375725269317627 0.46862967157417895 2024-08-29 07:03:50
13 1.1362959146499634 0.46885617214043035 2024-08-29 07:04:01
14 1.140624761581421 0.46885617214043035 2024-08-29 07:04:11
15 1.1184648275375366 0.4695356738391846 2024-08-29 07:04:22
